metric	model	feat_mode	mean_gain_pct	std_gain_pct	n_pairs
accuracy	AdaBoost	Básico	1.393188854489158	9.053476725100811	10
accuracy	DT	Dinâmico	1.2539184952978344	9.050554705469143	10
accuracy	ExtraTrees	Picos	-1.9287833827893341	9.149068709485123	10
accuracy	GaussianNB	Recente	0.0	12.493494665185212	10
accuracy	GradientBoosting	Estresse	1.846153846153853	8.375513273798935	10
accuracy	HistGradientBoosting	Básico	1.5552099533437058	10.998170376630116	10
accuracy	KNN	Picos	6.995230524642282	11.86217668609263	10
accuracy	LR	Integral	2.0312500000000178	6.0509230420123785	10
accuracy	RF	Forma	2.6315789473684292	10.427193714888832	10
accuracy	SVC	Estresse	3.639240506329089	7.605259108662059	10
auc	AdaBoost	Básico	1.9042437431991521	9.803702773296646	10
auc	DT	Picos	3.7641046746921702	15.485941502405783	10
auc	ExtraTrees	Básico	0.15644432362633687	10.6454442308385	10
auc	GaussianNB	Estresse	0.34155495062475616	10.281098127210617	10
auc	GradientBoosting	Básico	-0.5644866417153116	9.693903828494669	10
auc	HistGradientBoosting	Dinâmico	1.1058330743859646	11.155544806595552	10
auc	KNN	Picos	11.48264974599147	16.24541246659119	10
auc	LR	Básico	1.3982920771355989	6.384642337102806	10
auc	RF	Básico	1.1091658540909322	10.90541073356289	10
auc	SVC	Estresse	2.7210332670326354	7.059159567110454	10
f1	AdaBoost	Básico	6.132776617954083	16.98366430373232	10
f1	DT	Dinâmico	-0.34178057725977595	18.503139142984942	10
f1	ExtraTrees	Recente	-5.347495684107805	18.22752016341102	10
f1	GaussianNB	Picos	0.5474314436342054	7.809727880337938	10
f1	GradientBoosting	Estresse	4.873890424949723	16.181118617777535	10
f1	HistGradientBoosting	Básico	1.8348368193507714	18.244664368667856	10
f1	KNN	Picos	10.022896008350312	26.779810073481936	10
f1	LR	Integral	7.786110807837354	17.595124919809937	10
f1	RF	Forma	4.768952508080648	20.79460201001597	10
f1	SVC	Estresse	26.07883603069938	54.095964480369354	10
precision	AdaBoost	Básico	1.9770370689554007	17.408969153930183	10
precision	DT	Dinâmico	2.6188867074303346	17.742396316187353	10
precision	ExtraTrees	Picos	-2.756181931838808	17.137651268777024	10
precision	GaussianNB	Recente	0.10328096735046088	11.692698141108787	10
precision	GradientBoosting	Estresse	5.595387873436097	18.49776098162447	10
precision	HistGradientBoosting	Básico	3.226042805316598	20.714517439840968	10
precision	KNN	Picos	13.080166157767103	25.223900857724985	10
precision	LR	Integral	4.366904059950905	11.095345959908297	10
precision	RF	Forma	4.3837787080871715	21.325216653358446	10
precision	SVC	Picos	11.067830561888115	33.21677549101949	10
recall	AdaBoost	Básico	9.830733313274065	21.89896232769632	10
recall	DT	Estresse	-1.958633800371079	42.43966997952047	10
recall	ExtraTrees	Estresse	-5.567568740327178	21.939735993459557	10
recall	GaussianNB	Forma	2.5872634015705165	3.707693346424418	10
recall	GradientBoosting	Estresse	5.320049093323398	23.400996886203146	10
recall	HistGradientBoosting	Básico	0.659801980198016	21.5583780079451	10
recall	KNN	Dinâmico	8.823362201292406	28.896795702808426	10
recall	LR	Integral	10.80877234947173	26.402465104294187	10
recall	RF	Forma	5.800516283820989	29.20095736511536	10
recall	SVC	Estresse	24.358523825448188	69.91458520626927	10
