feat_mode	scenario	model	variant	accuracy_mean	accuracy_sd	accuracy_se	accuracy_lo	accuracy_hi	accuracy_n	precision_mean	precision_sd	precision_se	precision_lo	precision_hi	precision_n	recall_mean	recall_sd	recall_se	recall_lo	recall_hi	recall_n	f1_mean	f1_sd	f1_se	f1_lo	f1_hi	f1_n	auc_mean	auc_sd	auc_se	auc_lo	auc_hi	auc_n
Básico	Original	AdaBoost	grid_best_fold1	0.63	0.0	0.0	0.63	0.63	1	0.475	0.0	0.0	0.475	0.475	1	0.54286	0.0	0.0	0.54286	0.54286	1	0.50667	0.0	0.0	0.50667	0.50667	1	0.65648	0.0	0.0	0.65648	0.65648	1
Básico	Original	AdaBoost	grid_best_fold10	0.6	0.0	0.0	0.6	0.6	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.68294	0.0	0.0	0.68294	0.68294	1
Básico	Original	AdaBoost	grid_best_fold2	0.67	0.0	0.0	0.67	0.67	1	0.53125	0.0	0.0	0.53125	0.53125	1	0.48571	0.0	0.0	0.48571	0.48571	1	0.50746	0.0	0.0	0.50746	0.50746	1	0.6989	0.0	0.0	0.6989	0.6989	1
Básico	Original	AdaBoost	grid_best_fold3	0.68	0.0	0.0	0.68	0.68	1	0.56667	0.0	0.0	0.56667	0.56667	1	0.47222	0.0	0.0	0.47222	0.47222	1	0.51515	0.0	0.0	0.51515	0.51515	1	0.77235	0.0	0.0	0.77235	0.77235	1
Básico	Original	AdaBoost	grid_best_fold4	0.69	0.0	0.0	0.69	0.69	1	0.58065	0.0	0.0	0.58065	0.58065	1	0.5	0.0	0.0	0.5	0.5	1	0.53731	0.0	0.0	0.53731	0.53731	1	0.74023	0.0	0.0	0.74023	0.74023	1
Básico	Original	AdaBoost	grid_best_fold5	0.65	0.0	0.0	0.65	0.65	1	0.51724	0.0	0.0	0.51724	0.51724	1	0.41667	0.0	0.0	0.41667	0.41667	1	0.46154	0.0	0.0	0.46154	0.46154	1	0.69987	0.0	0.0	0.69987	0.69987	1
Básico	Original	AdaBoost	grid_best_fold6	0.66	0.0	0.0	0.66	0.66	1	0.53125	0.0	0.0	0.53125	0.53125	1	0.47222	0.0	0.0	0.47222	0.47222	1	0.5	0.0	0.0	0.5	0.5	1	0.7526	0.0	0.0	0.7526	0.7526	1
Básico	Original	AdaBoost	grid_best_fold7	0.59	0.0	0.0	0.59	0.59	1	0.43243	0.0	0.0	0.43243	0.43243	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.43836	0.0	0.0	0.43836	0.43836	1	0.68967	0.0	0.0	0.68967	0.68967	1
Básico	Original	AdaBoost	grid_best_fold8	0.68	0.0	0.0	0.68	0.68	1	0.55263	0.0	0.0	0.55263	0.55263	1	0.58333	0.0	0.0	0.58333	0.58333	1	0.56757	0.0	0.0	0.56757	0.56757	1	0.73524	0.0	0.0	0.73524	0.73524	1
Básico	Original	AdaBoost	grid_best_fold9	0.7	0.0	0.0	0.7	0.7	1	0.575	0.0	0.0	0.575	0.575	1	0.63889	0.0	0.0	0.63889	0.63889	1	0.60526	0.0	0.0	0.60526	0.60526	1	0.78277	0.0	0.0	0.78277	0.78277	1
Básico	Original	DT	grid_best_fold1	0.59	0.0	0.0	0.59	0.59	1	0.43182	0.0	0.0	0.43182	0.43182	1	0.54286	0.0	0.0	0.54286	0.54286	1	0.48101	0.0	0.0	0.48101	0.48101	1	0.5833	0.0	0.0	0.5833	0.5833	1
Básico	Original	DT	grid_best_fold10	0.61	0.0	0.0	0.61	0.61	1	0.46154	0.0	0.0	0.46154	0.46154	1	0.5	0.0	0.0	0.5	0.5	1	0.48	0.0	0.0	0.48	0.48	1	0.68989	0.0	0.0	0.68989	0.68989	1
Básico	Original	DT	grid_best_fold2	0.6	0.0	0.0	0.6	0.6	1	0.43243	0.0	0.0	0.43243	0.43243	1	0.45714	0.0	0.0	0.45714	0.45714	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.57055	0.0	0.0	0.57055	0.57055	1
Básico	Original	DT	grid_best_fold3	0.71	0.0	0.0	0.71	0.71	1	0.62963	0.0	0.0	0.62963	0.62963	1	0.47222	0.0	0.0	0.47222	0.47222	1	0.53968	0.0	0.0	0.53968	0.53968	1	0.65582	0.0	0.0	0.65582	0.65582	1
Básico	Original	DT	grid_best_fold4	0.65	0.0	0.0	0.65	0.65	1	0.51351	0.0	0.0	0.51351	0.51351	1	0.52778	0.0	0.0	0.52778	0.52778	1	0.52055	0.0	0.0	0.52055	0.52055	1	0.62326	0.0	0.0	0.62326	0.62326	1
Básico	Original	DT	grid_best_fold5	0.66	0.0	0.0	0.66	0.66	1	0.53333	0.0	0.0	0.53333	0.53333	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.48485	0.0	0.0	0.48485	0.48485	1	0.61285	0.0	0.0	0.61285	0.61285	1
Básico	Original	DT	grid_best_fold6	0.65	0.0	0.0	0.65	0.65	1	0.51429	0.0	0.0	0.51429	0.51429	1	0.5	0.0	0.0	0.5	0.5	1	0.50704	0.0	0.0	0.50704	0.50704	1	0.7398	0.0	0.0	0.7398	0.7398	1
Básico	Original	DT	grid_best_fold7	0.6	0.0	0.0	0.6	0.6	1	0.44737	0.0	0.0	0.44737	0.44737	1	0.47222	0.0	0.0	0.47222	0.47222	1	0.45946	0.0	0.0	0.45946	0.45946	1	0.57205	0.0	0.0	0.57205	0.57205	1
Básico	Original	DT	grid_best_fold8	0.54	0.0	0.0	0.54	0.54	1	0.4	0.0	0.0	0.4	0.4	1	0.55556	0.0	0.0	0.55556	0.55556	1	0.46512	0.0	0.0	0.46512	0.46512	1	0.59701	0.0	0.0	0.59701	0.59701	1
Básico	Original	DT	grid_best_fold9	0.62	0.0	0.0	0.62	0.62	1	0.48148	0.0	0.0	0.48148	0.48148	1	0.72222	0.0	0.0	0.72222	0.72222	1	0.57778	0.0	0.0	0.57778	0.57778	1	0.6747	0.0	0.0	0.6747	0.6747	1
Básico	Original	ExtraTrees	grid_best_fold1	0.59	0.0	0.0	0.59	0.59	1	0.425	0.0	0.0	0.425	0.425	1	0.48571	0.0	0.0	0.48571	0.48571	1	0.45333	0.0	0.0	0.45333	0.45333	1	0.61802	0.0	0.0	0.61802	0.61802	1
Básico	Original	ExtraTrees	grid_best_fold10	0.62	0.0	0.0	0.62	0.62	1	0.47368	0.0	0.0	0.47368	0.47368	1	0.5	0.0	0.0	0.5	0.5	1	0.48649	0.0	0.0	0.48649	0.48649	1	0.73698	0.0	0.0	0.73698	0.73698	1
Básico	Original	ExtraTrees	grid_best_fold2	0.61	0.0	0.0	0.61	0.61	1	0.44444	0.0	0.0	0.44444	0.44444	1	0.45714	0.0	0.0	0.45714	0.45714	1	0.4507	0.0	0.0	0.4507	0.4507	1	0.67956	0.0	0.0	0.67956	0.67956	1
Básico	Original	ExtraTrees	grid_best_fold3	0.73	0.0	0.0	0.73	0.73	1	0.63636	0.0	0.0	0.63636	0.63636	1	0.58333	0.0	0.0	0.58333	0.58333	1	0.6087	0.0	0.0	0.6087	0.6087	1	0.81836	0.0	0.0	0.81836	0.81836	1
Básico	Original	ExtraTrees	grid_best_fold4	0.6	0.0	0.0	0.6	0.6	1	0.4375	0.0	0.0	0.4375	0.4375	1	0.38889	0.0	0.0	0.38889	0.38889	1	0.41176	0.0	0.0	0.41176	0.41176	1	0.72027	0.0	0.0	0.72027	0.72027	1
Básico	Original	ExtraTrees	grid_best_fold5	0.67	0.0	0.0	0.67	0.67	1	0.54545	0.0	0.0	0.54545	0.54545	1	0.5	0.0	0.0	0.5	0.5	1	0.52174	0.0	0.0	0.52174	0.52174	1	0.77322	0.0	0.0	0.77322	0.77322	1
Básico	Original	ExtraTrees	grid_best_fold6	0.66	0.0	0.0	0.66	0.66	1	0.53846	0.0	0.0	0.53846	0.53846	1	0.38889	0.0	0.0	0.38889	0.38889	1	0.45161	0.0	0.0	0.45161	0.45161	1	0.76823	0.0	0.0	0.76823	0.76823	1
Básico	Original	ExtraTrees	grid_best_fold7	0.64	0.0	0.0	0.64	0.64	1	0.5	0.0	0.0	0.5	0.5	1	0.5	0.0	0.0	0.5	0.5	1	0.5	0.0	0.0	0.5	0.5	1	0.71463	0.0	0.0	0.71463	0.71463	1
Básico	Original	ExtraTrees	grid_best_fold8	0.69	0.0	0.0	0.69	0.69	1	0.56098	0.0	0.0	0.56098	0.56098	1	0.63889	0.0	0.0	0.63889	0.63889	1	0.5974	0.0	0.0	0.5974	0.5974	1	0.77799	0.0	0.0	0.77799	0.77799	1
Básico	Original	ExtraTrees	grid_best_fold9	0.72	0.0	0.0	0.72	0.72	1	0.61111	0.0	0.0	0.61111	0.61111	1	0.61111	0.0	0.0	0.61111	0.61111	1	0.61111	0.0	0.0	0.61111	0.61111	1	0.7615	0.0	0.0	0.7615	0.7615	1
Básico	Original	GaussianNB	grid_best_fold1	0.54	0.0	0.0	0.54	0.54	1	0.4321	0.0	0.0	0.4321	0.4321	1	1.0	0.0	0.0	1.0	1.0	1	0.60345	0.0	0.0	0.60345	0.60345	1	0.65385	0.0	0.0	0.65385	0.65385	1
Básico	Original	GaussianNB	grid_best_fold10	0.59	0.0	0.0	0.59	0.59	1	0.46667	0.0	0.0	0.46667	0.46667	1	0.97222	0.0	0.0	0.97222	0.97222	1	0.63063	0.0	0.0	0.63063	0.63063	1	0.69401	0.0	0.0	0.69401	0.69401	1
