model	Básico	Forma	Dinâmico	Estresse	Recente	Picos	Complexo	Integral
AdaBoost	1.9042437431991521	0.046069273490378926	1.5707361191583225	-0.618967539533366	-1.1706682870991858	-0.3812726990093718	-2.1385469807667756	-0.8724898605203091
DT	-1.4858431002067407	-0.7336457485649817	2.372578548111015	3.0742656527202428	-0.3788268527439409	3.7641046746921702	-0.7662279758174573	-0.7292806654881079
ExtraTrees	0.15644432362633687	-0.5530599068945707	-1.1917496347140677	-1.6919365251962248	-1.8345169730537902	-0.33816983247816346	-3.2051377892554744	-1.671412552244389
GaussianNB	0.007830563686717085	-1.8900133261956498	-0.2772019545086879	0.34155495062475616	0.2907274736039023	-0.08998029545428388	0.051396972561712495	-0.39437566203853747
GradientBoosting	-0.5644866417153116	-3.1033070810069785	-1.8098630414627892	-1.207168788627011	-4.097389694352815	-1.262083670559988	-3.2140954587720705	-3.883481850015269
HistGradientBoosting	0.6387523705878584	0.9623088724432183	1.1058330743859646	-0.01783601732880946	-3.2401633667712204	0.9365302536476827	-2.127084410345448	-1.8001836552409167
KNN	-0.5545610894668651	-2.1076068262594005	-3.787923875274135	-6.071635131155084	-2.900076759556436	11.48264974599147	-4.414513812905074	1.8048414983831362
LR	1.3982920771355989	-1.8639243155750607	-4.007479139340841	1.2034995674378157	-1.2544302737699908	-0.08721011358246988	-0.23637429185389136	0.2966539223620668
RF	1.1091658540909322	0.8709334278875769	-1.1875609431787892	0.23740138285610612	-1.1023790000886713	-0.6574937948763515	-0.7187139881216553	0.45984398546226046
SVC	2.186785951074066	0.4485970139060935	-2.138269750077515	2.7210332670326354	1.858839196537554	2.0874771290929406	0.08109746207627389	0.539938365928827
