model	Básico	Forma	Dinâmico	Estresse	Recente	Picos	Complexo	Integral
AdaBoost	9.830733313274065	6.240707023897651	3.6429564457290287	-1.7954523990977522	-4.11361754557813	-4.96774774497768	1.777882222715177	-0.4882312762317209
DT	-5.048942995804884	-8.893275936131895	-4.555765768235953	-1.958633800371079	-11.751254421321056	-9.183369435076273	-20.94906455357225	-10.140842495864288
ExtraTrees	-8.624180974008144	-7.017045865455573	-8.064422812676298	-5.567568740327178	-6.601204854130216	-9.126263795073564	-14.622054760837177	-11.55134009285912
GaussianNB	0.0	2.5872634015705165	2.3006837472817177	2.3006837472817177	0.0	2.014104092992941	1.4409447844153656	1.7275244387041422
GradientBoosting	1.8123060038788719	-8.69333009395591	0.648852883394957	5.320049093323398	-8.643063892530867	1.1473260475266978	1.1808368484767184	-6.931080848996151
HistGradientBoosting	0.659801980198016	-6.459009900990109	-2.090099009900992	-1.53980198019803	-7.024950495049509	0.06316831683168544	-1.6031683168316935	-1.5716831683168397
KNN	1.2029369095070352	5.280878293442481	8.823362201292406	-6.433912166444533	3.576384282859668	7.035696463201235	-2.941331295099614	-8.773459164787422
LR	7.798314402142892	1.282407676775521	-7.79896088559614	-5.438865292242845	-1.2317664729371236	-3.0792006878583855	6.447594973806647	10.80877234947173
RF	1.2022739415874506	5.800516283820989	1.7873410154946479	0.6339932567846596	4.1593396807719785	0.03254921789754839	-1.1697247236899022	4.143372139916601
SVC	22.739175532367106	-4.094281552352497	-28.65486966428422	24.358523825448188	-5.757556864234337	-2.5639208973581518	9.154107317957916	-21.48002879345231
