feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
mega_full	Original	AdaBoost	0.62800	0.02440	0.48252	0.03931	0.45310	0.07506	0.46349	0.04122	0.70145	0.03840
mega_full	Original	DT	0.63300	0.02312	0.47873	0.04430	0.49159	0.20456	0.46873	0.12925	0.63678	0.05273
mega_full	Original	ExtraTrees	0.64700	0.03164	0.51062	0.05426	0.48921	0.08561	0.49546	0.05433	0.72343	0.04195
mega_full	Original	GaussianNB	0.61700	0.05208	0.48498	0.03710	0.98611	0.01964	0.64949	0.03461	0.69961	0.04226
mega_full	Original	GradientBoosting	0.62700	0.03773	0.47989	0.06059	0.44437	0.10222	0.45549	0.07435	0.70186	0.04293
mega_full	Original	HistGradientBoosting	0.64500	0.02799	0.50556	0.04518	0.49706	0.08463	0.49781	0.05587	0.70473	0.03934
mega_full	Original	KNN	0.62900	0.04606	0.48631	0.07292	0.43325	0.07285	0.45428	0.05947	0.66712	0.05898
mega_full	Original	LR	0.65300	0.02627	0.51613	0.03758	0.51421	0.06765	0.51337	0.04444	0.71878	0.03698
mega_full	Original	RF	0.65700	0.03529	0.52581	0.05355	0.50873	0.10340	0.51117	0.06220	0.72531	0.04080
mega_full	Original	SVC	0.64800	0.02860	0.49975	0.07345	0.27706	0.14636	0.34049	0.14328	0.70665	0.03144
