feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats2	Original	AdaBoost	0.63400	0.03565	0.48733	0.05494	0.48373	0.10750	0.48162	0.07591	0.70796	0.02161
orig_stats2	Original	DT	0.64300	0.05716	0.50967	0.07509	0.49841	0.17982	0.48880	0.09663	0.63675	0.05634
orig_stats2	Original	ExtraTrees	0.65900	0.02644	0.52585	0.04040	0.51429	0.08720	0.51638	0.05232	0.73165	0.04082
orig_stats2	Original	GaussianNB	0.59500	0.05276	0.47097	0.03488	0.99444	0.01757	0.63856	0.03331	0.68910	0.03852
orig_stats2	Original	GradientBoosting	0.62900	0.03213	0.48166	0.04932	0.43595	0.11730	0.45074	0.07168	0.70756	0.03937
orig_stats2	Original	HistGradientBoosting	0.64700	0.04270	0.50740	0.07560	0.47238	0.11791	0.48393	0.08771	0.72455	0.02683
orig_stats2	Original	KNN	0.64200	0.02440	0.49808	0.03794	0.50000	0.10588	0.49485	0.07077	0.64148	0.05627
orig_stats2	Original	LR	0.62700	0.04084	0.47931	0.04905	0.47000	0.08505	0.47230	0.06068	0.70330	0.04251
orig_stats2	Original	RF	0.66300	0.04398	0.53359	0.07153	0.51683	0.11149	0.51959	0.07473	0.72827	0.05091
orig_stats2	Original	SVC	0.61900	0.03843	0.44184	0.08482	0.33841	0.15752	0.37061	0.13651	0.70601	0.03890
