feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig	Original	AdaBoost	0.64600	0.04427	0.51056	0.06972	0.45532	0.06547	0.47900	0.05836	0.70763	0.05450
orig	Original	DT	0.63800	0.04237	0.49865	0.05990	0.54706	0.15594	0.51232	0.07680	0.64145	0.06315
orig	Original	ExtraTrees	0.67400	0.02989	0.54550	0.04776	0.55310	0.08560	0.54624	0.05363	0.73572	0.05344
orig	Original	GaussianNB	0.62000	0.05207	0.48702	0.03815	0.96937	0.03056	0.64739	0.03419	0.70238	0.05891
orig	Original	GradientBoosting	0.65000	0.03916	0.51187	0.06057	0.47746	0.08997	0.49152	0.06996	0.73022	0.05170
orig	Original	HistGradientBoosting	0.64300	0.04572	0.50498	0.07124	0.50500	0.07675	0.50239	0.06314	0.71765	0.06468
orig	Original	KNN	0.62900	0.05259	0.48339	0.07533	0.47492	0.10897	0.47519	0.08083	0.65529	0.07919
orig	Original	LR	0.64000	0.02789	0.49454	0.03831	0.46405	0.09219	0.47628	0.06592	0.71666	0.03089
orig	Original	RF	0.64600	0.04971	0.51118	0.07881	0.48849	0.08411	0.49594	0.06784	0.72198	0.05482
orig	Original	SVC	0.63200	0.02394	0.47725	0.09927	0.35286	0.19112	0.37747	0.15533	0.70286	0.02462
