feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
mega_full	Original	AdaBoost	grid_best_fold1	0.62000	0.46667	0.60000	0.52500	0.67429
mega_full	Original	AdaBoost	grid_best_fold10	0.61000	0.45714	0.44444	0.45070	0.66450
mega_full	Original	AdaBoost	grid_best_fold2	0.62000	0.46154	0.51429	0.48649	0.68835
mega_full	Original	AdaBoost	grid_best_fold3	0.66000	0.53125	0.47222	0.50000	0.73568
mega_full	Original	AdaBoost	grid_best_fold4	0.67000	0.55172	0.44444	0.49231	0.74306
mega_full	Original	AdaBoost	grid_best_fold5	0.62000	0.47059	0.44444	0.45714	0.70833
mega_full	Original	AdaBoost	grid_best_fold6	0.65000	0.52174	0.33333	0.40678	0.77561
mega_full	Original	AdaBoost	grid_best_fold7	0.59000	0.42424	0.38889	0.40580	0.66189
mega_full	Original	AdaBoost	grid_best_fold8	0.62000	0.47368	0.50000	0.48649	0.69097
mega_full	Original	AdaBoost	grid_best_fold9	0.62000	0.46667	0.38889	0.42424	0.67188
mega_full	Original	DT	grid_best_fold1	0.63000	0.46875	0.42857	0.44776	0.67890
mega_full	Original	DT	grid_best_fold10	0.62000	0.40000	0.11111	0.17391	0.64800
mega_full	Original	DT	grid_best_fold2	0.60000	0.44186	0.54286	0.48718	0.59099
mega_full	Original	DT	grid_best_fold3	0.67000	0.54054	0.55556	0.54795	0.64497
mega_full	Original	DT	grid_best_fold4	0.61000	0.44000	0.30556	0.36066	0.54340
mega_full	Original	DT	grid_best_fold5	0.66000	0.52500	0.58333	0.55263	0.65430
mega_full	Original	DT	grid_best_fold6	0.62000	0.46667	0.38889	0.42424	0.56944
mega_full	Original	DT	grid_best_fold7	0.63000	0.48718	0.52778	0.50667	0.70204
mega_full	Original	DT	grid_best_fold8	0.66000	0.52500	0.58333	0.55263	0.64323
mega_full	Original	DT	grid_best_fold9	0.63000	0.49231	0.88889	0.63366	0.69249
mega_full	Original	ExtraTrees	grid_best_fold1	0.61000	0.45455	0.57143	0.50633	0.65648
mega_full	Original	ExtraTrees	grid_best_fold10	0.65000	0.51282	0.55556	0.53333	0.73177
mega_full	Original	ExtraTrees	grid_best_fold2	0.66000	0.51351	0.54286	0.52778	0.68132
mega_full	Original	ExtraTrees	grid_best_fold3	0.71000	0.62963	0.47222	0.53968	0.81380
mega_full	Original	ExtraTrees	grid_best_fold4	0.64000	0.50000	0.38889	0.43750	0.72439
mega_full	Original	ExtraTrees	grid_best_fold5	0.61000	0.44444	0.33333	0.38095	0.73199
mega_full	Original	ExtraTrees	grid_best_fold6	0.67000	0.55172	0.44444	0.49231	0.74935
mega_full	Original	ExtraTrees	grid_best_fold7	0.62000	0.47059	0.44444	0.45714	0.70226
mega_full	Original	ExtraTrees	grid_best_fold8	0.67000	0.54054	0.55556	0.54795	0.73003
mega_full	Original	ExtraTrees	grid_best_fold9	0.63000	0.48837	0.58333	0.53165	0.71289
mega_full	Original	GaussianNB	grid_best_fold1	0.55000	0.43750	1.00000	0.60870	0.65385
mega_full	Original	GaussianNB	grid_best_fold10	0.60000	0.47297	0.97222	0.63636	0.68142
mega_full	Original	GaussianNB	grid_best_fold2	0.55000	0.43750	1.00000	0.60870	0.65385
mega_full	Original	GaussianNB	grid_best_fold3	0.63000	0.49296	0.97222	0.65421	0.70486
mega_full	Original	GaussianNB	grid_best_fold4	0.65000	0.50704	1.00000	0.67290	0.72656
mega_full	Original	GaussianNB	grid_best_fold5	0.67000	0.52174	1.00000	0.68571	0.74219
mega_full	Original	GaussianNB	grid_best_fold6	0.71000	0.55385	1.00000	0.71287	0.78125
mega_full	Original	GaussianNB	grid_best_fold7	0.61000	0.48000	1.00000	0.64865	0.69531
mega_full	Original	GaussianNB	grid_best_fold8	0.57000	0.45333	0.94444	0.61261	0.65191
mega_full	Original	GaussianNB	grid_best_fold9	0.63000	0.49296	0.97222	0.65421	0.70486
mega_full	Original	GradientBoosting	grid_best_fold1	0.56000	0.38462	0.42857	0.40541	0.61758
mega_full	Original	GradientBoosting	grid_best_fold10	0.61000	0.45714	0.44444	0.45070	0.67708
mega_full	Original	GradientBoosting	grid_best_fold2	0.62000	0.46341	0.54286	0.50000	0.65670
mega_full	Original	GradientBoosting	grid_best_fold3	0.70000	0.60714	0.47222	0.53125	0.75738
mega_full	Original	GradientBoosting	grid_best_fold4	0.61000	0.42857	0.25000	0.31579	0.71875
mega_full	Original	GradientBoosting	grid_best_fold5	0.65000	0.51515	0.47222	0.49275	0.71875
mega_full	Original	GradientBoosting	grid_best_fold6	0.63000	0.47619	0.27778	0.35088	0.75130
mega_full	Original	GradientBoosting	grid_best_fold7	0.66000	0.52778	0.52778	0.52778	0.72786
mega_full	Original	GradientBoosting	grid_best_fold8	0.63000	0.48649	0.50000	0.49315	0.69705
mega_full	Original	GradientBoosting	grid_best_fold9	0.60000	0.45238	0.52778	0.48718	0.69618
mega_full	Original	HistGradientBoosting	grid_best_fold1	0.61000	0.44444	0.45714	0.45070	0.65143
mega_full	Original	HistGradientBoosting	grid_best_fold10	0.63000	0.48837	0.58333	0.53165	0.69141
mega_full	Original	HistGradientBoosting	grid_best_fold2	0.63000	0.47222	0.48571	0.47887	0.65934
mega_full	Original	HistGradientBoosting	grid_best_fold3	0.66000	0.53125	0.47222	0.50000	0.75477
mega_full	Original	HistGradientBoosting	grid_best_fold4	0.62000	0.45833	0.30556	0.36667	0.70833
mega_full	Original	HistGradientBoosting	grid_best_fold5	0.68000	0.56250	0.50000	0.52941	0.73524
mega_full	Original	HistGradientBoosting	grid_best_fold6	0.68000	0.56667	0.47222	0.51515	0.75651
mega_full	Original	HistGradientBoosting	grid_best_fold7	0.67000	0.54286	0.52778	0.53521	0.70095
mega_full	Original	HistGradientBoosting	grid_best_fold8	0.66000	0.52381	0.61111	0.56410	0.73003
