feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats7	Original	AdaBoost	0.61700	0.05458	0.47294	0.08072	0.46611	0.07320	0.46575	0.06071	0.68590	0.05978
orig_stats7	Original	DT	0.63000	0.04761	0.45141	0.17215	0.50992	0.26966	0.45336	0.19121	0.69024	0.04723
orig_stats7	Original	ExtraTrees	0.63700	0.03529	0.49992	0.06420	0.46079	0.09248	0.47288	0.05493	0.70930	0.03152
orig_stats7	Original	GaussianNB	0.61500	0.05318	0.48389	0.03800	0.98333	0.02342	0.64774	0.03427	0.70123	0.04337
orig_stats7	Original	GradientBoosting	0.64600	0.03026	0.50988	0.05449	0.47183	0.08506	0.48559	0.05317	0.70062	0.04401
orig_stats7	Original	HistGradientBoosting	0.63400	0.02836	0.49600	0.04391	0.46921	0.10168	0.47388	0.04961	0.70147	0.04104
orig_stats7	Original	KNN	0.62200	0.03425	0.47133	0.04131	0.44992	0.08045	0.45771	0.05624	0.61943	0.05631
orig_stats7	Original	LR	0.64200	0.04104	0.50325	0.06437	0.49397	0.05936	0.49690	0.05308	0.71514	0.04678
orig_stats7	Original	RF	0.64700	0.04111	0.51876	0.07332	0.47183	0.09075	0.48669	0.04938	0.71417	0.05349
orig_stats7	Original	SVC	0.63600	0.02836	0.48432	0.06078	0.36294	0.12644	0.40452	0.11146	0.69731	0.05387
