feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats	Original	AdaBoost	0.64000	0.01826	0.49633	0.02784	0.45825	0.10410	0.47128	0.06541	0.70626	0.03279
orig_stats	Original	DT	0.63500	0.05380	0.51936	0.12449	0.55683	0.16462	0.51331	0.07598	0.67642	0.06206
orig_stats	Original	ExtraTrees	0.66300	0.05498	0.53198	0.07933	0.53071	0.07727	0.52995	0.07323	0.73946	0.05663
orig_stats	Original	GaussianNB	0.61200	0.05095	0.48143	0.03650	0.96937	0.03056	0.64251	0.03342	0.70165	0.04146
orig_stats	Original	GradientBoosting	0.65800	0.05574	0.53007	0.08743	0.48611	0.09931	0.50235	0.08088	0.72877	0.04931
orig_stats	Original	HistGradientBoosting	0.65300	0.05417	0.51680	0.07078	0.52214	0.08645	0.51769	0.07428	0.72134	0.05146
orig_stats	Original	KNN	0.63600	0.06204	0.49413	0.08993	0.48579	0.08667	0.48863	0.08396	0.64535	0.07402
orig_stats	Original	LR	0.64100	0.02424	0.50003	0.03505	0.50302	0.08217	0.49851	0.04392	0.72676	0.03337
orig_stats	Original	RF	0.64400	0.03806	0.50670	0.05656	0.48889	0.08444	0.49367	0.05611	0.72808	0.05555
orig_stats	Original	SVC	0.64000	0.03801	0.51745	0.08899	0.38524	0.15581	0.41753	0.11304	0.71816	0.04057
