feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig	Original	AdaBoost	0.63500	0.05817	0.49535	0.08924	0.43881	0.07579	0.46261	0.07382	0.70559	0.06213
orig	Original	DT	0.63700	0.03401	0.43937	0.16791	0.42865	0.28199	0.40491	0.21015	0.69148	0.03321
orig	Original	ExtraTrees	0.67300	0.03164	0.54387	0.04958	0.55294	0.08945	0.54526	0.05620	0.73740	0.05105
orig	Original	GaussianNB	0.62000	0.05207	0.48702	0.03815	0.96937	0.03056	0.64739	0.03419	0.70238	0.05891
orig	Original	GradientBoosting	0.64300	0.04218	0.49995	0.06586	0.47206	0.11369	0.48107	0.08695	0.72451	0.05238
orig	Original	HistGradientBoosting	0.65000	0.04472	0.51302	0.06907	0.50222	0.09532	0.50431	0.07305	0.71970	0.05919
orig	Original	KNN	0.64000	0.06515	0.49555	0.08858	0.49714	0.13875	0.49228	0.10501	0.66128	0.07463
orig	Original	LR	0.64000	0.02789	0.49570	0.03902	0.46683	0.09101	0.47784	0.06385	0.71586	0.03234
orig	Original	RF	0.65000	0.05850	0.51717	0.08890	0.50524	0.07671	0.50861	0.07398	0.72110	0.05636
orig	Original	SVC	0.63500	0.02173	0.48648	0.12564	0.31865	0.21567	0.34495	0.16900	0.70563	0.02191
