feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig_stats4	Original	DT	grid_best_fold1	0.63	0.45	0.2571428571428571	0.32727272727272727	0.6331868131868131
orig_stats4	Original	DT	grid_best_fold2	0.64	0.4878048780487805	0.5714285714285714	0.5263157894736842	0.6879120879120879
orig_stats4	Original	DT	grid_best_fold3	0.69	0.5609756097560976	0.6388888888888888	0.5974025974025974	0.7708333333333333
orig_stats4	Original	DT	grid_best_fold4	0.67	0.5789473684210527	0.3055555555555556	0.4	0.6907552083333334
orig_stats4	Original	DT	grid_best_fold5	0.62	0.46875	0.4166666666666667	0.4411764705882353	0.7278645833333333
orig_stats4	Original	DT	grid_best_fold6	0.65	0.5151515151515151	0.4722222222222222	0.4927536231884058	0.7534722222222223
orig_stats4	Original	DT	grid_best_fold7	0.58	0.44	0.6111111111111112	0.5116279069767442	0.6608072916666666
orig_stats4	Original	DT	grid_best_fold8	0.58	0.45454545454545453	0.8333333333333334	0.5882352941176471	0.6490885416666667
orig_stats4	Original	DT	grid_best_fold9	0.67	0.5454545454545454	0.5	0.5217391304347826	0.7152777777777778
orig_stats4	Original	DT	grid_best_fold10	0.63	0.49122807017543857	0.7777777777777778	0.6021505376344086	0.7261284722222223
orig_stats4	Original	RF	grid_best_fold1	0.59	0.425	0.4857142857142857	0.4533333333333333	0.6575824175824176
orig_stats4	Original	RF	grid_best_fold2	0.62	0.45454545454545453	0.42857142857142855	0.4411764705882353	0.6509890109890109
orig_stats4	Original	RF	grid_best_fold3	0.72	0.625	0.5555555555555556	0.5882352941176471	0.8040364583333334
orig_stats4	Original	RF	grid_best_fold4	0.66	0.5384615384615384	0.3888888888888889	0.45161290322580644	0.76171875
orig_stats4	Original	RF	grid_best_fold5	0.64	0.5	0.3333333333333333	0.4	0.7213541666666666
orig_stats4	Original	RF	grid_best_fold6	0.68	0.5666666666666667	0.4722222222222222	0.5151515151515151	0.7834201388888888
orig_stats4	Original	RF	grid_best_fold7	0.57	0.40540540540540543	0.4166666666666667	0.410958904109589	0.6558159722222222
orig_stats4	Original	RF	grid_best_fold8	0.71	0.5853658536585366	0.6666666666666666	0.6233766233766234	0.7473958333333334
orig_stats4	Original	RF	grid_best_fold9	0.69	0.5609756097560976	0.6388888888888888	0.5974025974025974	0.7688802083333333
orig_stats4	Original	RF	grid_best_fold10	0.65	0.5135135135135135	0.5277777777777778	0.5205479452054794	0.7044270833333334
orig_stats4	Original	KNN	grid_best_fold1	0.65	0.5	0.6571428571428571	0.5679012345679012	0.6516483516483516
orig_stats4	Original	KNN	grid_best_fold2	0.58	0.40540540540540543	0.42857142857142855	0.4166666666666667	0.545054945054945
orig_stats4	Original	KNN	grid_best_fold3	0.65	0.5135135135135135	0.5277777777777778	0.5205479452054794	0.6232638888888888
orig_stats4	Original	KNN	grid_best_fold4	0.67	0.56	0.3888888888888889	0.45901639344262296	0.6085069444444444
orig_stats4	Original	KNN	grid_best_fold5	0.65	0.5161290322580645	0.4444444444444444	0.47761194029850745	0.6050347222222222
