feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats5	Original	AdaBoost	0.62400	0.06114	0.48142	0.10167	0.41437	0.12010	0.43692	0.08841	0.69336	0.05010
orig_stats5	Original	DT	0.61700	0.03401	0.46285	0.05593	0.39508	0.21912	0.39213	0.14808	0.67343	0.04646
orig_stats5	Original	ExtraTrees	0.64300	0.04900	0.50086	0.08026	0.47738	0.11803	0.48443	0.09151	0.70693	0.05217
orig_stats5	Original	GaussianNB	0.62000	0.05735	0.48752	0.04224	0.96937	0.03056	0.64768	0.03779	0.70442	0.04331
orig_stats5	Original	GradientBoosting	0.63400	0.02675	0.49113	0.04026	0.44159	0.10930	0.45737	0.06546	0.70342	0.03475
orig_stats5	Original	HistGradientBoosting	0.60900	0.03107	0.45225	0.04452	0.45270	0.10417	0.44840	0.07089	0.68437	0.04012
orig_stats5	Original	KNN	0.63800	0.04315	0.50454	0.06001	0.49460	0.06836	0.49365	0.03749	0.61967	0.04804
orig_stats5	Original	LR	0.62400	0.03502	0.48129	0.05392	0.43595	0.08110	0.45121	0.03692	0.70673	0.03697
orig_stats5	Original	RF	0.65700	0.04620	0.52529	0.07234	0.49754	0.10317	0.50637	0.07474	0.71958	0.04200
orig_stats5	Original	SVC	0.63400	0.02836	0.47946	0.06623	0.34643	0.08724	0.39963	0.07898	0.71510	0.02891
