feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats4	Original	AdaBoost	0.64300	0.02312	0.50652	0.04038	0.44714	0.08200	0.46975	0.04211	0.70325	0.04751
orig_stats4	Original	DT	0.62800	0.05051	0.49515	0.08252	0.53635	0.17473	0.49857	0.07966	0.66117	0.06436
orig_stats4	Original	ExtraTrees	0.65100	0.05174	0.51760	0.07554	0.52230	0.09051	0.51596	0.06851	0.72328	0.04702
orig_stats4	Original	GaussianNB	0.59400	0.05661	0.47056	0.03695	0.99167	0.01875	0.63751	0.03524	0.70477	0.04147
orig_stats4	Original	GradientBoosting	0.66200	0.03706	0.54051	0.06982	0.50286	0.05921	0.51547	0.03068	0.72141	0.03962
orig_stats4	Original	HistGradientBoosting	0.64000	0.04137	0.49895	0.05931	0.49722	0.09056	0.49508	0.06346	0.71752	0.04524
orig_stats4	Original	KNN	0.63100	0.05425	0.48761	0.08998	0.44437	0.08875	0.46175	0.07890	0.61551	0.03393
orig_stats4	Original	LR	0.63400	0.03658	0.48968	0.05819	0.43881	0.08560	0.45935	0.06167	0.72529	0.04568
orig_stats4	Original	RF	0.65200	0.05712	0.52268	0.08468	0.49159	0.08590	0.50242	0.06907	0.72370	0.06046
orig_stats4	Original	SVC	0.65500	0.04116	0.52632	0.07132	0.43881	0.06613	0.47591	0.05782	0.72198	0.04269
