feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
orig	Original	DT	grid_best_fold1	0.63	0.4807692307692308	0.7142857142857143	0.5747126436781609	0.6514285714285715
orig	Original	DT	grid_best_fold2	0.61	0.45652173913043476	0.6	0.5185185185185185	0.6476923076923077
orig	Original	DT	grid_best_fold3	0.69	0.5714285714285714	0.5555555555555556	0.5633802816901409	0.6605902777777778
orig	Original	DT	grid_best_fold4	0.64	0.0	0.0	0.0	0.7131076388888888
orig	Original	DT	grid_best_fold5	0.58	0.39285714285714285	0.3055555555555556	0.34375	0.695529513888889
orig	Original	DT	grid_best_fold6	0.62	0.4444444444444444	0.2222222222222222	0.2962962962962963	0.705078125
orig	Original	DT	grid_best_fold7	0.63	0.42857142857142855	0.08333333333333333	0.13953488372093023	0.7313368055555556
orig	Original	DT	grid_best_fold8	0.68	0.6111111111111112	0.3055555555555556	0.4074074074074074	0.7107204861111112
orig	Original	DT	grid_best_fold9	0.67	0.5272727272727272	0.8055555555555556	0.6373626373626373	0.736328125
orig	Original	DT	grid_best_fold10	0.62	0.4807692307692308	0.6944444444444444	0.5681818181818182	0.6629774305555556
orig	Original	RF	grid_best_fold1	0.57	0.39473684210526316	0.42857142857142855	0.410958904109589	0.6364835164835164
