feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats	Original	AdaBoost	0.65500	0.03749	0.52066	0.05334	0.50008	0.06907	0.50838	0.05274	0.72111	0.04157
orig_stats	Original	DT	0.62300	0.04668	0.48454	0.06643	0.51944	0.08011	0.49599	0.04065	0.63192	0.05654
orig_stats	Original	ExtraTrees	0.65300	0.04945	0.51730	0.07343	0.50540	0.08500	0.50929	0.07316	0.73688	0.05718
orig_stats	Original	GaussianNB	0.61300	0.05100	0.48208	0.03652	0.96937	0.03056	0.64310	0.03359	0.70243	0.04189
orig_stats	Original	GradientBoosting	0.65900	0.05322	0.53381	0.08748	0.48611	0.06483	0.50578	0.06237	0.72610	0.04866
orig_stats	Original	HistGradientBoosting	0.65300	0.05334	0.52128	0.07439	0.50833	0.07671	0.51161	0.06532	0.72223	0.05376
orig_stats	Original	KNN	0.64100	0.04458	0.49973	0.06216	0.48063	0.08374	0.48795	0.06567	0.65166	0.06387
orig_stats	Original	LR	0.63900	0.02470	0.49710	0.03527	0.50024	0.08275	0.49571	0.04469	0.72668	0.03335
orig_stats	Original	RF	0.65200	0.03824	0.51542	0.05868	0.49437	0.09218	0.50162	0.06609	0.72999	0.05592
orig_stats	Original	SVC	0.63000	0.03018	0.48239	0.04661	0.43310	0.10950	0.45060	0.06771	0.71823	0.03306
