feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats7	Original	AdaBoost	0.63100	0.05384	0.49561	0.08033	0.46341	0.07936	0.47277	0.05500	0.69250	0.06471
orig_stats7	Original	DT	0.61200	0.04780	0.43250	0.10579	0.43246	0.20157	0.41871	0.15978	0.63654	0.03004
orig_stats7	Original	ExtraTrees	0.64900	0.02726	0.51072	0.04912	0.47222	0.11562	0.48447	0.07515	0.71214	0.03750
orig_stats7	Original	GaussianNB	0.61700	0.05334	0.48524	0.03807	0.98333	0.02342	0.64894	0.03425	0.70274	0.04318
orig_stats7	Original	GradientBoosting	0.64900	0.04067	0.51781	0.07218	0.48310	0.08582	0.49435	0.05709	0.70675	0.03790
orig_stats7	Original	HistGradientBoosting	0.63900	0.04012	0.50363	0.07241	0.49690	0.07528	0.49527	0.04861	0.70238	0.05132
orig_stats7	Original	KNN	0.63300	0.04029	0.48879	0.05584	0.46095	0.08236	0.47133	0.06180	0.62637	0.05509
orig_stats7	Original	LR	0.64300	0.04084	0.50447	0.06416	0.49397	0.05936	0.49758	0.05345	0.71497	0.04694
orig_stats7	Original	RF	0.65200	0.04022	0.52337	0.07872	0.48278	0.10643	0.49459	0.06568	0.71679	0.04653
orig_stats7	Original	SVC	0.63600	0.02797	0.48910	0.05648	0.38516	0.08436	0.42783	0.06415	0.70343	0.05202
