feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats6	Original	AdaBoost	0.62300	0.05478	0.47148	0.08027	0.44405	0.09427	0.45575	0.08506	0.70667	0.05770
orig_stats6	Original	DT	0.65600	0.04402	0.53545	0.09409	0.38563	0.19146	0.42304	0.13772	0.67719	0.04644
orig_stats6	Original	ExtraTrees	0.66600	0.04477	0.53640	0.06827	0.51667	0.10432	0.52184	0.08010	0.73556	0.04848
orig_stats6	Original	GaussianNB	0.61800	0.05594	0.48603	0.03993	0.98889	0.01942	0.65093	0.03707	0.70174	0.04217
orig_stats6	Original	GradientBoosting	0.65200	0.04237	0.51751	0.06965	0.46333	0.09555	0.48503	0.07412	0.71395	0.04862
orig_stats6	Original	HistGradientBoosting	0.66700	0.03020	0.53694	0.04763	0.53897	0.08176	0.53470	0.05156	0.72792	0.05631
orig_stats6	Original	KNN	0.66100	0.03695	0.52530	0.05816	0.53040	0.10873	0.52405	0.07734	0.67579	0.05458
orig_stats6	Original	LR	0.64300	0.05250	0.50324	0.08232	0.44698	0.10072	0.47003	0.08382	0.71786	0.03951
orig_stats6	Original	RF	0.65400	0.04377	0.52055	0.06622	0.48294	0.10736	0.49616	0.07424	0.71683	0.05293
orig_stats6	Original	SVC	0.64900	0.05820	0.52824	0.11940	0.32976	0.07469	0.40208	0.08045	0.71645	0.03230
