feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats4	Original	AdaBoost	0.63800	0.03910	0.49908	0.06559	0.44976	0.07805	0.46919	0.05440	0.70294	0.05023
orig_stats4	Original	DT	0.63600	0.03658	0.49929	0.04900	0.53841	0.18701	0.50087	0.08966	0.70153	0.04518
orig_stats4	Original	ExtraTrees	0.64600	0.03864	0.50833	0.05622	0.52524	0.07381	0.51416	0.05159	0.72214	0.04171
orig_stats4	Original	GaussianNB	0.59200	0.05432	0.46913	0.03531	0.99167	0.01875	0.63625	0.03378	0.70172	0.04210
orig_stats4	Original	GradientBoosting	0.66700	0.03466	0.54334	0.05909	0.51968	0.04522	0.52797	0.02854	0.73328	0.04037
orig_stats4	Original	HistGradientBoosting	0.64900	0.04630	0.51311	0.06432	0.51397	0.08336	0.51071	0.06153	0.71852	0.04464
orig_stats4	Original	KNN	0.64400	0.03204	0.50828	0.05315	0.49190	0.08270	0.49522	0.04486	0.61056	0.03085
orig_stats4	Original	LR	0.63400	0.03406	0.48850	0.05240	0.44159	0.08625	0.46069	0.06181	0.72359	0.04455
orig_stats4	Original	RF	0.65300	0.04945	0.51749	0.07174	0.49143	0.10715	0.50018	0.08100	0.72556	0.05645
orig_stats4	Original	SVC	0.65200	0.04185	0.52117	0.07170	0.42770	0.08475	0.46554	0.06977	0.71825	0.04229
